球员,得分,犯规,失误,盖帽,抢断,助攻,篮板,防守篮板,进攻篮板,罚球命中率,三分命中率,投篮命中率,出场时间,先发,场次
Precious Achiuwa,7.05,1.7799999999999998,0.9249999999999999,0.51,0.42000000000000004,0.8,4.95,3.35,1.6,55.2,17.95,49.15,17.85,16.0,67.0
Precious Achiuwa,7.05,1.7799999999999998,0.9249999999999999,0.51,0.42000000000000004,0.8,4.95,3.35,1.6,55.2,17.95,49.15,17.85,16.0,67.0
Steven Adams,9.277777777777779,2.4655555555555555,1.431111111111111,0.9455555555555557,0.8822222222222222,1.5222222222222221,8.066666666666666,4.466666666666667,3.5999999999999996,54.48888888888889,3.6999999999999997,57.86666666666666,26.888888888888886,66.55555555555556,73.77777777777777
Bam Adebayo,13.9,2.4659999999999997,2.1100000000000003,0.898,1.0139999999999998,3.5200000000000005,8.379999999999999,6.239999999999999,2.14,73.98,11.86,55.44,28.560000000000002,47.8,68.6
Santi Aldama,4.1,1.13,0.5,0.31,0.19,0.7,2.7,1.7,1.0,62.5,12.5,40.2,11.3,0,32
LaMarcus Aldridge,18.083333333333332,2.3294444444444444,1.4527777777777777,1.1533333333333333,0.6588888888888889,1.9277777777777776,7.533333333333335,5.277777777777779,2.255555555555555,82.6,27.444444444444443,49.477777777777774,32.20555555555555,56.666666666666664,61.22222222222222
Nickeil Alexander-Walker,5.477777777777778,0.9644444444444444,0.8200000000000001,0.2111111111111111,0.4033333333333333,1.3666666666666667,1.6111111111111112,1.3777777777777775,0.23333333333333334,49.56666666666666,21.822222222222223,24.833333333333332,11.766666666666667,6.333333333333333,30.0
Grayson Allen,7.45,1.153333333333333,0.7083333333333334,0.12333333333333335,0.38999999999999996,1.2,1.9333333333333333,1.7,0.2333333333333333,70.28333333333333,32.18333333333333,36.23333333333334,16.866666666666664,16.833333333333332,38.333333333333336
Jarrett Allen,11.928571428571429,1.8714285714285717,1.4528571428571428,1.3914285714285712,0.5514285714285714,1.4857142857142855,9.214285714285714,6.314285714285714,2.9,71.04285714285716,17.11428571428571,62.98571428571429,27.371428571428567,45.857142857142854,57.714285714285715
Jose Alvarado,6.1,1.35,0.74,0.13,1.31,2.8,1.9,1.4,0.5,67.9,29.1,44.6,15.4,1,54
Kyle Anderson,6.4750000000000005,1.51125,0.9362500000000001,0.5800000000000001,0.9862500000000001,2.2625,4.3375,3.5999999999999996,0.7375,69.4625,31.775,46.487500000000004,20.775000000000002,31.0,63.125
Giannis Antetokounmpo,22.377777777777776,3.0011111111111113,2.9166666666666665,1.2988888888888888,1.1611111111111112,4.688888888888888,9.588888888888889,7.866666666666666,1.722222222222222,71.63333333333334,27.755555555555556,52.37777777777777,32.522222222222226,65.66666666666667,72.88888888888889
Thanasis Antetokounmpo,3.0749999999999997,1.155,0.47250000000000003,0.1325,0.2675,0.525,1.475,0.8999999999999999,0.575,38.8,9.600000000000001,57.150000000000006,7.275,2.75,31.75
Carmelo Anthony,20.133333333333326,2.614166666666667,2.0979166666666664,0.48583333333333334,0.8354166666666667,2.35,5.699999999999999,4.316666666666666,1.383333333333333,74.03333333333335,31.716666666666665,40.5125,31.329166666666662,49.958333333333336,56.125
Cole Anthony,14.600000000000001,2.36,2.44,0.32,0.675,4.9,5.050000000000001,4.4,0.65,84.30000000000001,33.75,39.400000000000006,29.4,49.5,56.0
OG Anunoby,11.3,2.33,1.196,0.48599999999999993,1.158,1.56,4.38,3.28,1.1,69.08,37.080000000000005,47.04,27.879999999999995,45.4,60.2
Ryan Arcidiacono,2.785714285714286,0.9414285714285714,0.3985714285714285,0.014285714285714287,0.3157142857142858,1.2285714285714284,1.2428571428571427,1.1428571428571428,0.09999999999999999,43.81428571428571,33.07142857142857,38.42857142857143,11.185714285714283,5.142857142857143,32.42857142857143
D.J. Augustin,8.741666666666665,1.2808333333333335,1.4058333333333335,0.029583333333333336,0.5425000000000001,3.5583333333333336,1.7249999999999999,1.4625000000000001,0.26250000000000007,87.27916666666665,37.1625,40.324999999999996,21.854166666666668,15.458333333333334,54.291666666666664
Deni Avdija,7.35,2.455,0.835,0.41000000000000003,0.655,1.6,4.949999999999999,4.45,0.5,70.05000000000001,31.6,42.45,23.75,20.0,68.0
Deandre Ayton,16.525,2.8274999999999997,1.735,1.0825,0.705,1.625,10.625,7.3999999999999995,3.225,75.35,19.975,59.775,30.85,57.25,59.0
Udoka Azubuike,2.9000000000000004,1.035,0.45499999999999996,0.46,0.065,0.0,2.5500000000000003,1.85,0.7000000000000001,67.25,0.0,59.95,7.65,3.0,16.0
Marvin Bagley III,13.066666666666665,2.256666666666667,1.1383333333333334,0.5866666666666668,0.5,0.8833333333333333,7.216666666666666,4.933333333333334,2.3000000000000003,67.88333333333334,25.766666666666666,49.949999999999996,24.983333333333334,17.0,35.666666666666664
LaMelo Ball,17.9,2.915,3.0549999999999997,0.375,1.59,6.85,6.25,4.95,1.2999999999999998,81.5,37.05,43.25,30.549999999999997,53.0,63.0
Lonzo Ball,10.185714285714287,1.8585714285714283,2.2214285714285715,0.5542857142857144,1.3257142857142858,5.342857142857143,4.942857142857143,4.057142857142857,0.8857142857142858,50.44285714285714,31.214285714285715,34.41428571428571,27.87142857142857,41.857142857142854,45.0
Mo Bamba,7.550000000000001,2.1225,0.8625,1.4175,0.3725,0.875,5.949999999999999,4.25,1.7000000000000002,68.1,33.725,47.375,18.0,18.75,56.5
Desmond Bane,13.7,2.21,1.165,0.31,0.905,2.2,3.75,3.2,0.55,85.94999999999999,43.400000000000006,46.5,26.05,46.5,72.0
Dalano Banton,3.2,1.06,0.83,0.16,0.44,1.5,1.9,1.3,0.6,59.1,25.5,41.1,10.9,1,64
Harrison Barnes,14.5,1.5824999999999998,1.2491666666666668,0.18416666666666667,0.6833333333333332,1.8499999999999999,5.116666666666668,4.125,0.9833333333333333,79.65833333333333,38.0,45.03333333333333,32.16666666666667,63.583333333333336,68.66666666666667
Scottie Barnes,15.3,2.6,1.84,0.74,1.08,3.5,7.5,4.9,2.6,73.5,30.1,49.2,35.4,74,74
RJ Barrett,17.3,2.2733333333333334,2.1,0.27,0.7766666666666667,2.8666666666666667,5.5,4.6,0.9,69.13333333333334,35.43333333333333,41.7,33.266666666666666,65.66666666666667,66.0
Will Barton,10.55,1.5158333333333334,1.3491666666666664,0.39250000000000007,0.7483333333333332,2.458333333333333,3.9416666666666664,3.2583333333333333,0.6750000000000002,77.79166666666666,31.383333333333336,42.416666666666664,23.916666666666668,23.666666666666668,56.75
Charles Bassey,3.0,1.39,0.35,0.74,0.22,0.3,2.7,1.7,1.0,75.0,0.0,63.8,7.3,0,23
Keita Bates-Diop,5.316666666666667,0.89,0.445,0.41500000000000004,0.43,0.5333333333333332,2.783333333333333,2.166666666666667,0.6166666666666667,71.53333333333335,30.766666666666666,45.01666666666666,14.933333333333332,2.8333333333333335,34.5
Nicolas Batum,10.671428571428573,1.7349999999999997,1.604285714285714,0.6257142857142858,0.9399999999999998,3.3714285714285714,5.035714285714286,4.042857142857143,0.9928571428571429,83.02142857142857,36.19285714285714,43.75714285714285,29.978571428571428,57.57142857142857,65.35714285714286
Kent Bazemore,7.553333333333333,1.9653333333333332,1.2473333333333332,0.3993333333333334,0.9066666666666667,1.5666666666666664,2.9,2.5799999999999996,0.32000000000000006,65.34666666666666,32.42666666666666,37.55333333333333,18.94,23.066666666666666,52.8
Darius Bazley,7.140000000000001,0.776,0.992,0.5660000000000001,0.43,0.9199999999999999,4.3,3.72,0.58,55.56,25.659999999999997,32.120000000000005,19.22,25.2,49.2
Bradley Beal,22.0,2.2239999999999998,2.462,0.38299999999999995,1.108,4.2299999999999995,4.09,3.22,0.8699999999999999,81.11999999999999,37.160000000000004,45.13,34.63,61.1,64.5
Malik Beasley,11.225000000000001,1.2262499999999998,0.8712500000000001,0.12000000000000001,0.58625,1.3250000000000002,2.6250000000000004,2.25,0.375,80.22500000000001,37.675,43.1625,21.4,12.625,48.875
Davis Bertans,7.7299999999999995,1.612,0.523,0.33,0.396,0.9099999999999999,2.5300000000000002,2.23,0.3,77.3,34.58,36.88,17.5,4.3,49.7
Patrick Beverley,8.97,3.0459999999999994,1.3329999999999997,0.522,1.1720000000000002,3.3600000000000003,4.140000000000001,2.9899999999999998,1.15,76.29,37.989999999999995,41.39,27.090000000000003,43.8,52.6
Saddiq Bey,14.15,1.565,1.015,0.2,0.815,2.0999999999999996,4.95,4.0,0.95,83.55000000000001,36.3,40.0,30.15,67.5,76.0
Khem Birch,6.042857142857144,1.7257142857142858,0.6242857142857144,0.6385714285714286,0.557142857142857,1.1285714285714286,5.057142857142857,2.8571428571428577,2.1999999999999997,69.55714285714286,10.428571428571429,52.01428571428572,19.557142857142853,13.857142857142858,47.0
Goga Bitadze,5.1000000000000005,1.8099999999999998,0.6066666666666667,0.9533333333333333,0.27,0.7666666666666667,2.966666666666667,1.8333333333333333,1.1333333333333335,71.53333333333333,24.366666666666664,47.166666666666664,11.933333333333332,7.0,49.666666666666664
Bismack Biyombo,5.227272727272727,2.1709090909090913,0.8954545454545453,1.2463636363636366,0.2563636363636364,0.6,5.945454545454544,3.972727272727273,1.9727272727272729,55.809090909090905,0.0,54.11818181818182,19.490909090909092,28.181818181818183,67.0909090909091
Nemanja Bjelica,7.111111111111111,2.207777777777778,0.9522222222222223,0.3344444444444445,0.5877777777777777,1.822222222222222,4.144444444444445,3.1777777777777776,0.9666666666666666,73.53333333333335,36.422222222222224,45.888888888888886,19.01111111111111,18.333333333333332,54.0
Eric Bledsoe,13.04375,1.8712500000000003,2.410625,0.4425,1.316875,4.2875,3.4812499999999993,2.8,0.68125,71.98125,30.65625,41.50000000000001,26.012499999999996,41.9375,55.25
Keljin Blevins,1.9,0.705,0.42000000000000004,0.015,0.27,0.4,1.0,0.65,0.35,27.25,27.1,27.8,7.8500000000000005,0.5,24.0
Bogdan Bogdanovic,14.5,2.154,1.456,0.238,1.038,3.3800000000000003,3.5,3.0200000000000005,0.48,83.2,38.6,44.16,28.740000000000002,30.2,63.2
Bojan Bogdanovic,14.049999999999999,1.5241666666666667,1.5583333333333336,0.0725,0.4775,1.4416666666666667,3.316666666666667,2.8333333333333335,0.49166666666666664,79.77499999999999,35.699999999999996,41.55833333333333,26.399999999999995,50.25,62.25
Bol Bol,2.0444444444444443,0.4666666666666667,0.4255555555555556,0.25666666666666665,0.09444444444444444,0.3111111111111111,1.0,0.7777777777777778,0.2222222222222222,34.077777777777776,19.58888888888889,28.255555555555553,4.6,0.2222222222222222,8.222222222222221
Leandro Bolmaro,0.7,0.37,0.185,0.0,0.085,0.3,0.65,0.4,0.25,42.3,13.9,15.75,3.45,1.0,17.5
Isaac Bonga,2.2833333333333337,1.2366666666666666,0.4549999999999999,0.19499999999999998,0.4333333333333334,0.6666666666666666,1.6833333333333333,1.1166666666666667,0.5666666666666667,57.9,20.51666666666667,29.349999999999998,9.783333333333333,17.666666666666668,34.833333333333336
Devin Booker,23.771428571428572,2.9557142857142855,3.165714285714285,0.2671428571428572,0.8385714285714286,4.728571428571429,3.971428571428571,3.442857142857143,0.5285714285714286,86.71428571428571,35.6,45.48571428571429,33.785714285714285,64.57142857142857,68.14285714285714
