球员,位置,能力值
Precious Achiuwa,前锋,33.250728229207425
Steven Adams,中锋,48.75633426565996
Bam Adebayo,中锋-前锋,62.432937698360945
Santi Aldama,前锋-中锋,19.05134559366984
LaMarcus Aldridge,中锋-前锋,70.95633523180152
Nickeil Alexander-Walker,后卫,20.140187141621862
Grayson Allen,后卫,25.03079576250308
Jarrett Allen,中锋,59.66821318327775
Jose Alvarado,后卫,27.259684361549496
Kyle Anderson,前锋-后卫,31.136689709143084
Giannis Antetokounmpo,前锋,90.73325314358313
Thanasis Antetokounmpo,前锋,12.788574409808273
Carmelo Anthony,前锋,71.00307233018853
Cole Anthony,后卫,56.710577800965176
OG Anunoby,前锋,44.111125603234655
Ryan Arcidiacono,后卫,12.113759029110538
D.J. Augustin,后卫,34.55465704389664
Deni Avdija,前锋,34.75935828877005
Deandre Ayton,中锋,74.65979740011305
Udoka Azubuike,中锋-前锋,15.444980653015088
Marvin Bagley III,前锋,55.133834760807495
LaMelo Ball,后卫,73.08812660319116
Lonzo Ball,后卫,47.59296179669209
Mo Bamba,中锋,39.455893222033836
Desmond Bane,后卫,46.58058345289335
Dalano Banton,前锋,15.268901352115124
Harrison Barnes,前锋,53.694766894193
Scottie Barnes,前锋,64.7450110864745
RJ Barrett,前锋-后卫,61.96832021796155
Will Barton,后卫,39.00337666478269
Charles Bassey,中锋-前锋,17.025346724055478
Keita Bates-Diop,前锋,22.68886859991595
Nicolas Batum,后卫-前锋,43.91299757153417
Kent Bazemore,后卫-前锋,28.815558743822734
Darius Bazley,前锋,32.00034781096475
Bradley Beal,后卫,74.23938089648277
Malik Beasley,后卫,36.144080692143824
Davis Bertans,前锋,28.473544628494412
Patrick Beverley,后卫,38.25572801182558
Saddiq Bey,前锋,52.7064040693883
Khem Birch,中锋,31.353916289353883
Goga Bitadze,中锋-前锋,23.980116806515664
Bismack Biyombo,中锋,32.768535755362414
Nemanja Bjelica,前锋,32.03822056045873
Eric Bledsoe,后卫,50.91191687317943
Keljin Blevins,后卫,7.351854267205773
Bogdan Bogdanovic,后卫,51.69688274422851
Bojan Bogdanovic,前锋,47.09722765676855
Bol Bol,中锋-前锋,8.787540638329734
Leandro Bolmaro,前锋,3.856354071562106
Isaac Bonga,后卫,10.082170340419982
Devin Booker,后卫,79.48846944542784
Brandon Boston Jr.,后卫,23.0163905917134
Chris Boucher,前锋-中锋,30.000434763705925
James Bouknight,后卫,15.990609103952004
Avery Bradley,后卫,31.716407587021905
Tony Bradley,中锋-前锋,26.865912662182396
Ignas Brazdeikis,前锋,14.40806921438198
Mikal Bridges,前锋,43.63288552671623
Miles Bridges,前锋,53.44767618799183
Oshae Brissett,前锋-后卫,26.97795748010956
Malcolm Brogdon,后卫,53.234641972088184
Armoni Brooks,后卫,18.169644798052264
Dillon Brooks,后卫-前锋,46.44841528629192
Bruce Brown,后卫-前锋,32.78553106386679
Jaylen Brown,后卫-前锋,57.92356854049825
Moses Brown,中锋,21.647971827311856
Sterling Brown,后卫-前锋,21.649493500282603
Greg Brown III,前锋,21.512108169210038
Charlie Brown Jr.,后卫,8.27268379635668
Chaundee Brown Jr.,前锋,23.26565511644421
Troy Brown Jr.,后卫-前锋,23.127979942901035
Jalen Brunson,后卫,43.53506369288292
Thomas Bryant,中锋-前锋,39.94087213599409
Reggie Bullock,后卫-前锋,22.450618089068588
Trey Burke,后卫,34.91687652376318
Alec Burks,后卫,34.786211341194885
Jared Butler,后卫,15.642798139211338
Jimmy Butler,前锋,62.552642638725864
Devontae Cacok,前锋,14.733272466414505
Kentavious Caldwell-Pope,后卫,39.35674294354353
Facundo Campazzo,后卫,27.54228077040129
Vlatko Cancar,前锋,10.785038331666739
Devin Cannady,后卫,15.938437459240903
Clint Capela,中锋,56.760140863440725
Vernon Carey Jr.,前锋-中锋,12.32772488152689
Jevon Carter,后卫,16.27755314986305
Wendell Carter Jr.,中锋-前锋,56.424358361230674
Alex Caruso,后卫,28.38833094213295
Justin Champagnie,后卫-前锋,9.738707012738576
Chris Chiozza,后卫,12.310575868682038
Marquese Chriss,前锋,22.556700433314496
Josh Christopher,后卫,29.685665840615627
Gary Clark,前锋,13.696989019801073
Brandon Clarke,前锋,37.97747924003304
Jordan Clarkson,后卫,49.62827703143341
Nic Claxton,前锋-中锋,31.92324971378056
Amir Coffey,后卫-前锋,18.433981131255166
John Collins,前锋-中锋,70.40563453762881
Zach Collins,前锋-中锋,25.631929046563194
Mike Conley,后卫,54.8712715815425
Pat Connaughton,后卫,20.86741570242288
Tyler Cook,前锋,11.436459284378941
Sharife Cooper,后卫,2.6955349767401424
DeMarcus Cousins,中锋,62.78792226424939
Robert Covington,前锋,44.99753207661048
Torrey Craig,前锋,26.49450023912004
Jae Crowder,前锋,36.49150804184984
Jarrett Culver,后卫-前锋,20.552149906525806
Cade Cunningham,后卫,67.48402243380723
Seth Curry,后卫,24.68099213077693
