球员,球员(中),场均得分,排名,场均助攻,排名,场均篮板,排名,投篮命中率,排名,三分命中率,排名,罚球命中率,排名,场均盖帽,排名,场均抢断,排名,本赛季薪金
steven_adams,史蒂文 亚当斯,0,-,1.3,-,1.7,-,0%,-,0%,-,0%,-,0,-,0,-,2753
de'anthony_melton,丹东尼 梅尔顿,2.2,-,1.2,-,1.8,-,16.70%,-,14.30%,-,50.00%,-,0,-,0.5,-,957
kyle_anderson,凯尔 安德森,5.2,-,1.6,-,4.8,-,58.80%,-,0%,-,85.70%,-,0.4,-,1,-,950
ja_morant,贾 莫兰特,22.4,-,10.4,-,8.8,-,40.20%,-,26.70%,-,70.40%,-,0.6,-,1.4,-,916
tyus_jones,泰厄斯 琼斯,9.2,-,4.2,-,3.4,-,46.90%,-,57.10%,-,88.90%,-,0,-,1.2,-,800
jaren_jackson,小贾伦 杰克逊,10.6,-,0.4,-,5.8,-,39.10%,-,31.80%,-,66.70%,-,2.8,-,0.6,-,726
jarrett_culver,贾勒特 卡尔弗,2,-,1,-,3,-,50.00%,-,0%,-,0%,-,0,-,2,-,610
ziaire_williams,宰伊尔 威廉姆斯,5.6,-,0.2,-,0.2,-,42.10%,-,25.00%,-,90.00%,-,0,-,0.4,-,437
brandon_clarke,布兰登 克拉克,16.4,-,2.2,-,8.6,-,70.20%,-,0%,-,59.30%,-,0.6,-,1,-,260
john_konchar,约翰 康查尔,0,-,0.3,-,1,-,0%,-,0%,-,0%,-,0,-,0,-,210
santi_aldama,桑迪 阿尔达马,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,199
dillon_brooks,狄龙 布鲁克斯,15.2,-,2.4,-,2.4,-,35.10%,-,27.60%,-,66.70%,-,0.2,-,0.8,-,162
xavier_tillman,泽维尔 蒂尔曼,5.5,-,0.2,-,4,-,76.90%,-,0%,-,40.00%,-,0,-,0.25,-,130
yves_pons,伊夫 庞斯,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,93
killian_tillie,基利安 蒂利,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
desmond_bane,德斯蒙德 贝恩,23.6,-,2.4,-,3.8,-,47.60%,-,46.80%,-,90.00%,-,1.2,-,0.8,-,0
tyrell_terry,泰雷尔 特里,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
tim_hardaway,小蒂姆 哈达威,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,2130
spencer_dinwiddie,斯潘塞 丁威迪,15.3,-,4.3,-,3.3,-,36.10%,-,29.40%,-,73.30%,-,0.17,-,1.17,-,1714
davis_bertans,戴维斯 贝尔坦斯,3.3,-,0.2,-,1.3,-,35.70%,-,35.70%,-,83.30%,-,0.17,-,0.33,-,1500
dwight_powell,德怀特 鲍威尔,4.2,-,0.5,-,3.7,-,55.60%,-,0%,-,62.50%,-,0.5,-,0.17,-,1018
luka_doncic,卢卡 东契奇,29,-,5.7,-,10.7,-,46.90%,-,36.70%,-,80.00%,-,1,-,1.33,-,1017
reggie_bullock,雷吉 布洛克,10.7,-,2.2,-,6,-,44.70%,-,40.50%,-,100%,-,0.17,-,1.5,-,954
maxi_kleber,马克西 克勒贝尔,10.3,-,1.3,-,5,-,54.10%,-,51.60%,-,75.00%,-,0.17,-,0,-,843
dorian_finney-smith,多里安 芬尼 史密斯,13.2,-,2.8,-,6.3,-,45.90%,-,39.50%,-,100%,-,0.67,-,1.17,-,400
boban_marjanovic,博班 马里亚诺维奇,0,-,0,-,1,-,0%,-,0%,-,0%,-,0,-,0,-,350
sterling_brown,斯特林 布朗,2,-,0,-,0,-,0%,-,0%,-,100%,-,0,-,0,-,300
