球队,赛区,场次,命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,场均得分,场均篮板,场均助攻,失误,场均抢断,场均盖帽,犯规,命中,出手,三分命中,三分出手,罚球命中,罚球出手,总进攻篮板,总防守篮板,总得分,总篮板,总助攻,总抢断,总盖帽,总失误,总犯规
快船,西部,82,47.4,35.2,73.0,10.46,32.54,107.9,43.0,24.6,13.85,8.57,4.8,21.5,3208,6761,693,1966,1741,2384,858,2668,8850,3526,2016,703,397,1136,1767
火箭,西部,82,47.2,35.8,71.2,11.22,34.11,107.7,45.33,21.4,16.13,7.57,5.6,20.4,3118,6603,779,2179,1814,2549,920,2797,8829,3717,1755,621,461,1323,1676
森林狼,西部,82,44.4,34.1,77.8,12.49,32.24,106.9,44.73,23.9,13.93,8.76,3.6,18.3,3189,7175,600,1757,1790,2301,1024,2644,8768,3668,1963,718,297,1142,1504
开拓者,西部,82,45.0,37.2,81.5,12.46,33.98,106.7,46.44,23.2,13.72,5.54,4.7,19.2,3207,7134,770,2071,1569,1926,1022,2786,8753,3808,1904,454,387,1125,1576
雷霆,西部,82,47.1,36.1,80.6,10.82,33.92,106.2,44.73,21.9,15.32,8.27,6.1,22.7,3194,6782,664,1839,1653,2052,887,2781,8705,3668,1794,678,501,1256,1858
马刺,西部,82,48.6,39.7,78.5,9.29,33.98,105.4,43.27,25.2,14.39,7.37,5.1,18.2,3326,6844,698,1757,1289,1642,762,2786,8639,3548,2064,604,420,1180,1495
太阳,西部,82,46.3,37.2,75.8,11.32,31.72,105.2,43.04,19.1,15.34,8.39,4.6,21.9,3172,6845,765,2055,1520,2004,928,2601,8629,3529,1563,688,374,1258,1798
独行侠,西部,82,47.4,38.4,79.5,10.24,30.66,104.8,40.9,23.6,13.54,8.59,4.3,20.0,3249,6858,721,1877,1378,1733,840,2514,8597,3354,1935,704,356,1110,1636
掘金,西部,82,44.7,35.8,72.6,12.31,33.13,104.4,45.44,22.4,15.92,7.5,5.6,23.0,3147,7042,702,1959,1563,2154,1009,2717,8559,3726,1838,615,459,1305,1890
勇士,西部,82,46.2,38.0,75.3,10.93,34.38,104.3,45.31,23.3,15.21,7.83,5.0,21.8,3236,7005,774,2037,1303,1731,896,2819,8549,3715,1912,642,407,1247,1784
湖人,西部,82,45.0,38.1,75.7,9.09,31.95,103.0,41.04,24.5,15.11,7.45,5.4,19.8,3139,6980,774,2032,1390,1835,745,2620,8442,3365,2006,611,446,1239,1627
热火,东部,82,50.1,36.4,76.0,7.65,29.23,102.2,36.88,22.5,14.78,8.93,4.5,19.5,3142,6272,665,1829,1431,1884,627,2397,8380,3024,1847,732,367,1212,1596
猛龙,东部,82,44.5,37.2,78.2,11.4,31.12,101.3,42.52,21.2,14.13,7.04,4.2,23.0,2992,6718,713,1917,1608,2055,935,2552,8305,3487,1737,577,343,1159,1882
老鹰,东部,82,45.8,36.3,78.1,8.7,31.28,101.0,39.98,24.9,15.26,8.29,4.0,19.2,3061,6688,768,2116,1392,1782,713,2565,8282,3278,2041,680,326,1251,1577
