球员,赛季,所在球队,出场时间,投篮命中率,三分命中率,罚球命中率,进攻篮板,防守篮板,篮板,助攻,抢断,盖帽,失误,犯规,得分
Jaylen Brown,2021-22,Celtics,0.780246913580247,0.5026567481402763,0.358,0.758,0.14814814814814814,0.46491228070175433,0.38125,0.29914529914529914,0.38267148014440433,0.07336956521739131,0.4712041884816754,0.5061475409836066,0.6527777777777778
Bruno Fernando,2021-22,Celtics,0.02222222222222222,0.5313496280552604,1.0,0.8,0.07407407407407407,0.03508771929824561,0.05,0.017094017094017096,0.0,0.040760869565217385,0.04363001745200698,0.06147540983606557,0.025
Malik Fitts,2021-22,Celtics,0.037037037037037035,0.6376195536663125,0.5,0.0,0.05555555555555555,0.05263157894736842,0.05625,0.05128205128205128,0.0,0.0,0.0,0.026639344262295084,0.049999999999999996
Sam Hauser,2021-22,Celtics,0.10123456790123456,0.48884165781083955,0.43200000000000005,0.0,0.037037037037037035,0.07894736842105263,0.06875,0.03418803418803419,0.01444043321299639,0.021739130434782608,0.013961605584642232,0.05532786885245902,0.06666666666666667
Juancho Hernangomez,2021-22,Celtics,0.08148148148148147,0.19659936238044634,0.16699999999999998,0.667,0.09259259259259259,0.07894736842105263,0.0875,0.017094017094017096,0.07942238267148015,0.029891304347826084,0.05759162303664921,0.07991803278688525,0.027777777777777776
Al Horford,2021-22,Celtics,0.6691358024691358,0.49628055260361326,0.336,0.8420000000000001,0.2962962962962963,0.5350877192982456,0.48125,0.2905982905982906,0.2563176895306859,0.36141304347826086,0.16404886561954624,0.38524590163934425,0.28055555555555556
Luke Kornet,2021-22,Celtics,0.1259259259259259,0.6068012752391074,0.0,0.667,0.14814814814814814,0.11403508771929824,0.13125,0.05982905982905983,0.09025270758122744,0.04619565217391305,0.0,0.11885245901639344,0.058333333333333334
Romeo Langford,2021-22,Celtics,0.35802469135802467,0.4558979808714134,0.349,0.588,0.12962962962962962,0.14912280701754385,0.15,0.03418803418803419,0.17328519855595667,0.09782608695652173,0.06282722513089005,0.21516393442622953,0.1277777777777778
Aaron Nesmith,2021-22,Celtics,0.2222222222222222,0.42082890541976625,0.27,0.8079999999999999,0.05555555555555555,0.12280701754385964,0.10625,0.03418803418803419,0.1371841155234657,0.02717391304347826,0.10471204188481674,0.2766393442622951,0.10277777777777777
Payton Pritchard,2021-22,Celtics,0.29876543209876544,0.4558979808714134,0.41200000000000003,1.0,0.09259259259259259,0.12280701754385964,0.11875,0.17094017094017094,0.1263537906137184,0.021739130434782608,0.10122164048865619,0.1762295081967213,0.16944444444444445
Josh Richardson,2021-22,Celtics,0.5604938271604938,0.4707757704569607,0.397,0.8590000000000001,0.1111111111111111,0.20175438596491227,0.18125,0.12820512820512822,0.2779783393501805,0.14130434782608695,0.15532286212914484,0.3811475409836066,0.26666666666666666
Dennis Schroder,2021-22,Celtics,0.671604938271605,0.46758767268862916,0.349,0.848,0.1111111111111111,0.24561403508771928,0.2125,0.35897435897435903,0.30324909747292417,0.02717391304347826,0.36998254799301916,0.48565573770491804,0.39722222222222225
Marcus Smart,2021-22,Celtics,0.7481481481481481,0.4442082890541977,0.331,0.7929999999999999,0.1111111111111111,0.2807017543859649,0.2375,0.5042735042735044,0.6064981949458483,0.06793478260869565,0.39092495636998253,0.4610655737704918,0.3333333333333333
Nik Stauskas,2021-22,Celtics,0.012345679012345678,0.35387885228480337,0.33299999999999996,0.5,0.0,0.0,0.0,0.017094017094017096,0.0,0.0,0.029668411867364748,0.0,0.03055555555555555
Jayson Tatum,2021-22,Celtics,0.837037037037037,0.4814027630180659,0.353,0.853,0.20370370370370372,0.6052631578947368,0.5,0.3760683760683761,0.3574007220216606,0.17391304347826086,0.4991273996509598,0.4692622950819672,0.7444444444444444
Daniel Theis,2021-22,Celtics,0.41234567901234565,0.6354941551540914,0.35700000000000004,0.688,0.24074074074074073,0.2982456140350877,0.29375,0.08547008547008547,0.15523465703971118,0.18206521739130435,0.12390924956369981,0.4774590163934426,0.21666666666666667
Brodric Thomas,2021-22,Celtics,0.07407407407407407,0.4718384697130712,0.222,0.6,0.037037037037037035,0.06140350877192982,0.05625,0.07692307692307693,0.02888086642599278,0.021739130434782608,0.08726003490401396,0.11885245901639344,0.04722222222222222
Derrick White,2021-22,Celtics,0.6271604938271604,0.434643995749203,0.306,0.853,0.09259259259259259,0.25438596491228066,0.2125,0.29914529914529914,0.20938628158844763,0.16847826086956522,0.21465968586387432,0.4405737704918033,0.3027777777777778
Grant Williams,2021-22,Celtics,0.5530864197530864,0.5047821466524973,0.41100000000000003,0.905,0.14814814814814814,0.2368421052631579,0.21875,0.08547008547008547,0.17689530685920576,0.2010869565217391,0.14136125654450263,0.4959016393442623,0.2138888888888889
Robert Williams III,2021-22,Celtics,0.6814814814814815,0.7821466524973433,0.0,0.722,0.7222222222222222,0.5,0.6,0.17094017094017094,0.33212996389891697,0.5978260869565217,0.17975567190226877,0.4610655737704918,0.275
Jaylen Brown,2020-21,Celtics,0.8024691358024691,0.5143464399574921,0.397,0.764,0.2222222222222222,0.42105263157894735,0.375,0.2905982905982906,0.44765342960288806,0.14945652173913043,0.47469458987783597,0.5942622950819673,0.6833333333333332
Carsen Edwards,2020-21,Celtics,0.17037037037037037,0.4495217853347503,0.28600000000000003,0.846,0.018518518518518517,0.06140350877192982,0.05,0.042735042735042736,0.08303249097472924,0.008152173913043478,0.04013961605584642,0.16598360655737707,0.10833333333333334
Evan Fournier,2020-21,Celtics,0.6790123456790124,0.4760892667375133,0.46299999999999997,0.7140000000000001,0.05555555555555555,0.2631578947368421,0.20625,0.26495726495726496,0.45126353790613716,0.17119565217391303,0.20767888307155322,0.5245901639344263,0.35833333333333334
Javonte Green,2020-21,Celtics,0.291358024691358,0.583421891604676,0.318,0.667,0.14814814814814814,0.11403508771929824,0.13125,0.03418803418803419,0.259927797833935,0.021739130434782608,0.09075043630017451,0.26229508196721313,0.1138888888888889
Luke Kornet,2020-21,Celtics,0.29876543209876544,0.5026567481402763,0.25,0.5,0.12962962962962962,0.1929824561403509,0.18125,0.09401709401709403,0.039711191335740074,0.3777173913043478,0.05759162303664921,0.21721311475409838,0.11944444444444446
Romeo Langford,2020-21,Celtics,0.3382716049382716,0.37832093517534543,0.278,0.75,0.12962962962962962,0.11403508771929824,0.125,0.05982905982905983,0.11913357400722022,0.07608695652173914,0.09773123909249563,0.2725409836065574,0.08333333333333333
Aaron Nesmith,2020-21,Celtics,0.30864197530864196,0.46546227417640806,0.37,0.7859999999999999,0.1111111111111111,0.1929824561403509,0.175,0.042735042735042736,0.11913357400722022,0.05434782608695652,0.08726003490401396,0.38729508196721313,0.1277777777777778
Payton Pritchard,2020-21,Celtics,0.4246913580246913,0.46758767268862916,0.41100000000000003,0.889,0.09259259259259259,0.16666666666666666,0.15,0.15384615384615385,0.20216606498194947,0.03804347826086957,0.13961605584642234,0.3237704918032787,0.21111111111111114
Marcus Smart,2020-21,Celtics,0.762962962962963,0.42295430393198724,0.33,0.79,0.14814814814814814,0.2368421052631579,0.21875,0.4871794871794872,0.5415162454873647,0.13043478260869565,0.34904013961605584,0.5389344262295082,0.3611111111111111
Jayson Tatum,2020-21,Celtics,0.8345679012345678,0.487778958554729,0.386,0.868,0.14814814814814814,0.5789473684210525,0.4625,0.36752136752136755,0.42238267148014436,0.13043478260869565,0.4659685863874345,0.39139344262295084,0.7305555555555555
Daniel Theis,2020-21,Celtics,0.5555555555555556,0.5866099893730075,0.34700000000000003,0.687,0.24074074074074073,0.3508771929824561,0.33125,0.13675213675213677,0.21660649819494585,0.27717391304347827,0.17102966841186734,0.5860655737704918,0.2611111111111111
Tristan Thompson,2020-21,Celtics,0.5382716049382716,0.5504782146652497,0.0,0.5920000000000001,0.5740740740740741,0.43859649122807015,0.50625,0.10256410256410256,0.1588447653429603,0.16576086956521738,0.20069808027923208,0.4508196721311476,0.20833333333333334
Moritz Wagner,2020-21,Celtics,0.11851851851851851,0.30393198724760895,0.33299999999999996,0.5,0.05555555555555555,0.15789473684210525,0.13125,0.05982905982905983,0.0,0.029891304347826084,0.17452006980802792,0.22745901639344265,0.03055555555555555
Kemba Walker,2020-21,Celtics,0.7358024691358025,0.4463336875664187,0.36,0.899,0.07407407407407407,0.3157894736842105,0.25,0.41880341880341887,0.40433212996389895,0.07608695652173914,0.35776614310645716,0.29098360655737704,0.5333333333333333
Grant Williams,2020-21,Celtics,0.3975308641975309,0.4643995749202976,0.37200000000000005,0.588,0.14814814814814814,0.18421052631578946,0.18125,0.08547008547008547,0.18411552346570398,0.10326086956521739,0.15532286212914484,0.5245901639344263,0.1277777777777778
Robert Williams III,2020-21,Celtics,0.4172839506172839,0.7662061636556854,0.0,0.616,0.48148148148148145,0.3771929824561403,0.43125,0.15384615384615385,0.2996389891696751,0.47554347826086957,0.17452006980802792,0.4139344262295082,0.21944444444444444
Jaylen Brown,2019-20,Celtics,0.7876543209876543,0.5111583421891606,0.382,0.7240000000000001,0.20370370370370372,0.46491228070175433,0.4,0.17948717948717952,0.4115523465703971,0.0951086956521739,0.3821989528795811,0.6004098360655739,0.5611111111111111
Carsen Edwards,2019-20,Celtics,0.18518518518518517,0.3485653560042508,0.316,0.684,0.037037037037037035,0.09649122807017545,0.08125,0.05128205128205128,0.11552346570397112,0.029891304347826084,0.07155322862129145,0.18852459016393444,0.08888888888888888
Javonte Green,2019-20,Celtics,0.19259259259259262,0.5313496280552604,0.273,0.667,0.09259259259259259,0.12280701754385964,0.11875,0.042735042735042736,0.18050541516245489,0.04619565217391305,0.0837696335078534,0.18442622950819673,0.09166666666666666
Gordon Hayward,2019-20,Celtics,0.7777777777777778,0.5313496280552604,0.38299999999999995,0.855,0.20370370370370372,0.49122807017543857,0.41875,0.3504273504273504,0.2635379061371841,0.11413043478260869,0.32286212914485163,0.3790983606557377,0.4833333333333333
Romeo Langford,2019-20,Celtics,0.23703703703703702,0.3719447396386823,0.185,0.72,0.09259259259259259,0.07017543859649122,0.08125,0.03418803418803419,0.09025270758122744,0.06793478260869565,0.059336823734729496,0.21106557377049182,0.06666666666666667
Marcus Smart,2019-20,Celtics,0.7407407407407407,0.3985122210414453,0.34700000000000003,0.836,0.12962962962962962,0.2719298245614035,0.2375,0.41880341880341887,0.6064981949458483,0.13043478260869565,0.300174520069808,0.5532786885245902,0.35555555555555557
Jayson Tatum,2019-20,Celtics,0.7975308641975308,0.4782146652497343,0.40299999999999997,0.812,0.18518518518518517,0.5263157894736842,0.4375,0.25641025641025644,0.5090252707581228,0.23369565217391303,0.4101221640488656,0.42213114754098363,0.6472222222222221
Daniel Theis,2019-20,Celtics,0.5456790123456791,0.6014877789585548,0.33299999999999996,0.763,0.40740740740740744,0.3859649122807018,0.4125,0.1452991452991453,0.20577617328519854,0.35054347826086957,0.14485165794066315,0.6905737704918034,0.25277777777777777
Kemba Walker,2019-20,Celtics,0.7185185185185186,0.45164718384697133,0.381,0.8640000000000001,0.1111111111111111,0.2807017543859649,0.2375,0.41025641025641024,0.31046931407942235,0.1358695652173913,0.3647469458987783,0.33401639344262296,0.5638888888888888
Grant Williams,2019-20,Celtics,0.3234567901234568,0.4378320935175346,0.25,0.722,0.16666666666666666,0.14912280701754385,0.1625,0.08547008547008547,0.15523465703971118,0.14130434782608695,0.1256544502617801,0.48360655737704916,0.09166666666666666
Robert Williams III,2019-20,Celtics,0.2814814814814815,0.7725823591923486,0.0,0.647,0.25925925925925924,0.2631578947368421,0.275,0.07692307692307693,0.2743682310469314,0.3288043478260869,0.1256544502617801,0.36065573770491804,0.1416666666666667
Jaylen Brown,2018-19,Celtics,0.5901234567901235,0.49415515409139216,0.344,0.6579999999999999,0.16666666666666666,0.2982456140350877,0.26875,0.11965811965811966,0.33574007220216606,0.11684782608695651,0.2338568935427574,0.5143442622950819,0.35833333333333334
